home_team,away_team,home_score,away_score,home_penalty,away_penalty,Attendance,Round,Date,Host,Year,Winner
Argentina,France,3,3,4.0,2.0,88966,Final,2022-12-18,Qatar,2022,Argentina
Croatia,Morocco,2,1,,,44137,Third-place match,2022-12-17,Qatar,2022,Croatia
France,Morocco,2,0,,,68294,Semi-finals,2022-12-14,Qatar,2022,France
Argentina,Croatia,3,0,,,88966,Semi-finals,2022-12-13,Qatar,2022,Argentina
Morocco,Portugal,1,0,,,44198,Quarter-finals,2022-12-10,Qatar,2022,Morocco
England,France,1,2,,,68895,Quarter-finals,2022-12-10,Qatar,2022,France
Croatia,Brazil,1,1,4.0,2.0,43893,Quarter-finals,2022-12-09,Qatar,2022,Croatia
Netherlands,Argentina,2,2,3.0,4.0,88235,Quarter-finals,2022-12-09,Qatar,2022,Argentina
Morocco,Spain,0,0,3.0,0.0,44667,Round of 16,2022-12-06,Qatar,2022,Morocco
Portugal,Switzerland,6,1,,,83720,Round of 16,2022-12-06,Qatar,2022,Portugal
Japan,Croatia,1,1,1.0,3.0,42523,Round of 16,2022-12-05,Qatar,2022,Croatia
Brazil,Korea Republic,4,1,,,43847,Round of 16,2022-12-05,Qatar,2022,Brazil
France,Poland,3,1,,,40989,Round of 16,2022-12-04,Qatar,2022,France
England,Senegal,3,0,,,65985,Round of 16,2022-12-04,Qatar,2022,England
Netherlands,United States,3,1,,,44846,Round of 16,2022-12-03,Qatar,2022,Netherlands
Argentina,Australia,2,1,,,45032,Round of 16,2022-12-03,Qatar,2022,Argentina
Korea Republic,Portugal,2,1,,,44097,Group stage,2022-12-02,Qatar,2022,Korea Republic
Ghana,Uruguay,0,2,,,43443,Group stage,2022-12-02,Qatar,2022,Uruguay
Cameroon,Brazil,1,0,,,85986,Group stage,2022-12-02,Qatar,2022,Cameroon
Serbia,Switzerland,2,3,,,41378,Group stage,2022-12-02,Qatar,2022,Switzerland
Canada,Morocco,1,2,,,43102,Group stage,2022-12-01,Qatar,2022,Morocco
Croatia,Belgium,0,0,,,43984,Group stage,2022-12-01,Qatar,2022,Draw
Costa Rica,Germany,2,4,,,67054,Group stage,2022-12-01,Qatar,2022,Germany
Japan,Spain,2,1,,,44851,Group stage,2022-12-01,Qatar,2022,Japan
Australia,Denmark,1,0,,,41232,Group stage,2022-11-30,Qatar,2022,Australia
Tunisia,France,1,0,,,43627,Group stage,2022-11-30,Qatar,2022,Tunisia
Saudi Arabia,Mexico,1,2,,,84985,Group stage,2022-11-30,Qatar,2022,Mexico
Poland,Argentina,0,2,,,44089,Group stage,2022-11-30,Qatar,2022,Argentina
Ecuador,Senegal,1,2,,,44569,Group stage,2022-11-29,Qatar,2022,Senegal
Netherlands,Qatar,2,0,,,66784,Group stage,2022-11-29,Qatar,2022,Netherlands
IR Iran,United States,0,1,,,42127,Group stage,2022-11-29,Qatar,2022,United States
Wales,England,0,3,,,44297,Group stage,2022-11-29,Qatar,2022,England
Cameroon,Serbia,3,3,,,39789,Group stage,2022-11-28,Qatar,2022,Draw
Korea Republic,Ghana,2,3,,,43983,Group stage,2022-11-28,Qatar,2022,Ghana
Brazil,Switzerland,1,0,,,43649,Group stage,2022-11-28,Qatar,2022,Brazil
Portugal,Uruguay,2,0,,,88668,Group stage,2022-11-28,Qatar,2022,Portugal
Japan,Costa Rica,0,1,,,41479,Group stage,2022-11-27,Qatar,2022,Costa Rica
Belgium,Morocco,0,2,,,43738,Group stage,2022-11-27,Qatar,2022,Morocco
Croatia,Canada,4,1,,,44374,Group stage,2022-11-27,Qatar,2022,Croatia
Spain,Germany,1,1,,,68895,Group stage,2022-11-27,Qatar,2022,Draw
Tunisia,Australia,0,1,,,41823,Group stage,2022-11-26,Qatar,2022,Australia
Poland,Saudi Arabia,2,0,,,44259,Group stage,2022-11-26,Qatar,2022,Poland
France,Denmark,2,1,,,42860,Group stage,2022-11-26,Qatar,2022,France
Argentina,Mexico,2,0,,,88966,Group stage,2022-11-26,Qatar,2022,Argentina
Wales,IR Iran,0,2,,,40875,Group stage,2022-11-25,Qatar,2022,IR Iran
Qatar,Senegal,1,3,,,41797,Group stage,2022-11-25,Qatar,2022,Senegal
Netherlands,Ecuador,1,1,,,44833,Group stage,2022-11-25,Qatar,2022,Draw
England,United States,0,0,,,68463,Group stage,2022-11-25,Qatar,2022,Draw
Switzerland,Cameroon,1,0,,,39089,Group stage,2022-11-24,Qatar,2022,Switzerland
Uruguay,Korea Republic,0,0,,,41663,Group stage,2022-11-24,Qatar,2022,Draw
Portugal,Ghana,3,2,,,42662,Group stage,2022-11-24,Qatar,2022,Portugal
Brazil,Serbia,2,0,,,88103,Group stage,2022-11-24,Qatar,2022,Brazil
Morocco,Croatia,0,0,,,59407,Group stage,2022-11-23,Qatar,2022,Draw
Germany,Japan,1,2,,,42608,Group stage,2022-11-23,Qatar,2022,Japan
Spain,Costa Rica,7,0,,,40013,Group stage,2022-11-23,Qatar,2022,Spain
Belgium,Canada,1,0,,,40432,Group stage,2022-11-23,Qatar,2022,Belgium
Argentina,Saudi Arabia,1,2,,,88012,Group stage,2022-11-22,Qatar,2022,Saudi Arabia
Denmark,Tunisia,0,0,,,42925,Group stage,2022-11-22,Qatar,2022,Draw
Mexico,Poland,0,0,,,39369,Group stage,2022-11-22,Qatar,2022,Draw
France,Australia,4,1,,,40875,Group stage,2022-11-22,Qatar,2022,France
England,IR Iran,6,2,,,45334,Group stage,2022-11-21,Qatar,2022,England
Senegal,Netherlands,0,2,,,41721,Group stage,2022-11-21,Qatar,2022,Netherlands
United States,Wales,1,1,,,43418,Group stage,2022-11-21,Qatar,2022,Draw
Qatar,Ecuador,0,2,,,67372,Group stage,2022-11-20,Qatar,2022,Ecuador
France,Croatia,4,2,,,78011,Final,2018-07-15,Russia,2018,France
Belgium,England,2,0,,,64406,Third-place match,2018-07-14,Russia,2018,Belgium
Croatia,England,2,1,,,78011,Semi-finals,2018-07-11,Russia,2018,Croatia
France,Belgium,1,0,,,64286,Semi-finals,2018-07-10,Russia,2018,France
Sweden,England,0,2,,,39991,Quarter-finals,2018-07-07,Russia,2018,England
Russia,Croatia,2,2,3.0,4.0,44287,Quarter-finals,2018-07-07,Russia,2018,Croatia
Uruguay,France,0,2,,,43319,Quarter-finals,2018-07-06,Russia,2018,France
Brazil,Belgium,1,2,,,42873,Quarter-finals,2018-07-06,Russia,2018,Belgium
Sweden,Switzerland,1,0,,,64042,Round of 16,2018-07-03,Russia,2018,Sweden
Colombia,England,1,1,3.0,4.0,44190,Round of 16,2018-07-03,Russia,2018,England
Brazil,Mexico,2,0,,,41970,Round of 16,2018-07-02,Russia,2018,Brazil
Belgium,Japan,3,2,,,41466,Round of 16,2018-07-02,Russia,2018,Belgium
Spain,Russia,1,1,3.0,4.0,78011,Round of 16,2018-07-01,Russia,2018,Russia
Croatia,Denmark,1,1,3.0,2.0,40851,Round of 16,2018-07-01,Russia,2018,Croatia
France,Argentina,4,3,,,42873,Round of 16,2018-06-30,Russia,2018,France
Uruguay,Portugal,2,1,,,44287,Round of 16,2018-06-30,Russia,2018,Uruguay
Japan,Poland,0,1,,,42189,Group stage,2018-06-28,Russia,2018,Poland
Senegal,Colombia,0,1,,,41970,Group stage,2018-06-28,Russia,2018,Colombia
England,Belgium,0,1,,,33973,Group stage,2018-06-28,Russia,2018,Belgium
Panama,Tunisia,1,2,,,37168,Group stage,2018-06-28,Russia,2018,Tunisia
Korea Republic,Germany,2,0,,,41835,Group stage,2018-06-27,Russia,2018,Korea Republic
Mexico,Sweden,0,3,,,33061,Group stage,2018-06-27,Russia,2018,Sweden
Switzerland,Costa Rica,2,2,,,43319,Group stage,2018-06-27,Russia,2018,Draw
Serbia,Brazil,0,2,,,44190,Group stage,2018-06-27,Russia,2018,Brazil
Australia,Peru,0,2,,,44073,Group stage,2018-06-26,Russia,2018,Peru
Denmark,France,0,0,,,78011,Group stage,2018-06-26,Russia,2018,Draw
Iceland,Croatia,1,2,,,43472,Group stage,2018-06-26,Russia,2018,Croatia
Nigeria,Argentina,1,2,,,64468,Group stage,2018-06-26,Russia,2018,Argentina
Saudi Arabia,Egypt,2,1,,,36823,Group stage,2018-06-25,Russia,2018,Saudi Arabia
Uruguay,Russia,3,0,,,41970,Group stage,2018-06-25,Russia,2018,Uruguay
Spain,Morocco,2,2,,,33973,Group stage,2018-06-25,Russia,2018,Draw
IR Iran,Portugal,1,1,,,41685,Group stage,2018-06-25,Russia,2018,Draw
England,Panama,6,1,,,43319,Group stage,2018-06-24,Russia,2018,England
Japan,Senegal,2,2,,,32572,Group stage,2018-06-24,Russia,2018,Draw
Poland,Colombia,0,3,,,42873,Group stage,2018-06-24,Russia,2018,Colombia
Belgium,Tunisia,5,2,,,44190,Group stage,2018-06-23,Russia,2018,Belgium
Korea Republic,Mexico,1,2,,,43472,Group stage,2018-06-23,Russia,2018,Mexico
Germany,Sweden,2,1,,,44287,Group stage,2018-06-23,Russia,2018,Germany
Brazil,Costa Rica,2,0,,,64468,Group stage,2018-06-22,Russia,2018,Brazil
Nigeria,Iceland,2,0,,,40904,Group stage,2018-06-22,Russia,2018,Nigeria
Serbia,Switzerland,1,2,,,33167,Group stage,2018-06-22,Russia,2018,Switzerland
Denmark,Australia,1,1,,,40727,Group stage,2018-06-21,Russia,2018,Draw
France,Peru,1,0,,,32789,Group stage,2018-06-21,Russia,2018,France
Argentina,Croatia,0,3,,,43319,Group stage,2018-06-21,Russia,2018,Croatia
Portugal,Morocco,1,0,,,78011,Group stage,2018-06-20,Russia,2018,Portugal
Uruguay,Saudi Arabia,1,0,,,42678,Group stage,2018-06-20,Russia,2018,Uruguay
IR Iran,Spain,0,1,,,42718,Group stage,2018-06-20,Russia,2018,Spain
Colombia,Japan,1,2,,,40842,Group stage,2018-06-19,Russia,2018,Japan
Poland,Senegal,1,2,,,44190,Group stage,2018-06-19,Russia,2018,Senegal
Russia,Egypt,3,1,,,64468,Group stage,2018-06-19,Russia,2018,Russia
Sweden,Korea Republic,1,0,,,42300,Group stage,2018-06-18,Russia,2018,Sweden
Belgium,Panama,3,0,,,43257,Group stage,2018-06-18,Russia,2018,Belgium
Tunisia,England,1,2,,,41064,Group stage,2018-06-18,Russia,2018,England
Costa Rica,Serbia,0,1,,,41432,Group stage,2018-06-17,Russia,2018,Serbia
Germany,Mexico,0,1,,,78011,Group stage,2018-06-17,Russia,2018,Mexico
Brazil,Switzerland,1,1,,,43109,Group stage,2018-06-17,Russia,2018,Draw
France,Australia,2,1,,,41279,Group stage,2018-06-16,Russia,2018,France
Argentina,Iceland,1,1,,,44190,Group stage,2018-06-16,Russia,2018,Draw
Peru,Denmark,0,1,,,40502,Group stage,2018-06-16,Russia,2018,Denmark
Croatia,Nigeria,2,0,,,31136,Group stage,2018-06-16,Russia,2018,Croatia
Egypt,Uruguay,0,1,,,27015,Group stage,2018-06-15,Russia,2018,Uruguay
Morocco,IR Iran,0,1,,,62548,Group stage,2018-06-15,Russia,2018,IR Iran
Portugal,Spain,3,3,,,43866,Group stage,2018-06-15,Russia,2018,Draw
Russia,Saudi Arabia,5,0,,,78011,Group stage,2018-06-14,Russia,2018,Russia
Germany,Argentina,1,0,,,74738,Final,2014-07-13,Brazil,2014,Germany
Brazil,Netherlands,0,3,,,68034,Third-place match,2014-07-12,Brazil,2014,Netherlands
Netherlands,Argentina,0,0,2.0,4.0,63267,Semi-finals,2014-07-09,Brazil,2014,Argentina
Brazil,Germany,1,7,,,58141,Semi-finals,2014-07-08,Brazil,2014,Germany
Argentina,Belgium,1,0,,,68551,Quarter-finals,2014-07-05,Brazil,2014,Argentina
Netherlands,Costa Rica,0,0,4.0,3.0,51179,Quarter-finals,2014-07-05,Brazil,2014,Netherlands
France,Germany,0,1,,,74240,Quarter-finals,2014-07-04,Brazil,2014,Germany
Brazil,Colombia,2,1,,,60342,Quarter-finals,2014-07-04,Brazil,2014,Brazil
Argentina,Switzerland,1,0,,,63255,Round of 16,2014-07-01,Brazil,2014,Argentina
Belgium,United States,2,1,,,51227,Round of 16,2014-07-01,Brazil,2014,Belgium
France,Nigeria,2,0,,,67882,Round of 16,2014-06-30,Brazil,2014,France
Germany,Algeria,2,1,,,43063,Round of 16,2014-06-30,Brazil,2014,Germany
Netherlands,Mexico,2,1,,,58817,Round of 16,2014-06-29,Brazil,2014,Netherlands
Costa Rica,Greece,1,1,5.0,3.0,41242,Round of 16,2014-06-29,Brazil,2014,Costa Rica
Brazil,Chile,1,1,3.0,2.0,57714,Round of 16,2014-06-28,Brazil,2014,Brazil
Colombia,Uruguay,2,0,,,73804,Round of 16,2014-06-28,Brazil,2014,Colombia
United States,Germany,0,1,,,41876,Group stage,2014-06-26,Brazil,2014,Germany
Portugal,Ghana,2,1,,,67540,Group stage,2014-06-26,Brazil,2014,Portugal
Korea Republic,Belgium,0,1,,,61397,Group stage,2014-06-26,Brazil,2014,Belgium
Algeria,Russia,1,1,,,39311,Group stage,2014-06-26,Brazil,2014,Draw
Bosnia and Herzegovina,IR Iran,3,1,,,48011,Group stage,2014-06-25,Brazil,2014,Bosnia and Herzegovina
Nigeria,Argentina,2,3,,,43285,Group stage,2014-06-25,Brazil,2014,Argentina
Honduras,Switzerland,0,3,,,40322,Group stage,2014-06-25,Brazil,2014,Switzerland
Ecuador,France,0,0,,,73749,Group stage,2014-06-25,Brazil,2014,Draw
Costa Rica,England,0,0,,,57823,Group stage,2014-06-24,Brazil,2014,Draw
Italy,Uruguay,0,1,,,39706,Group stage,2014-06-24,Brazil,2014,Uruguay
Japan,Colombia,1,4,,,40340,Group stage,2014-06-24,Brazil,2014,Colombia
Greece,Côte d'Ivoire,2,1,,,59095,Group stage,2014-06-24,Brazil,2014,Greece
Australia,Spain,0,3,,,39375,Group stage,2014-06-23,Brazil,2014,Spain
Netherlands,Chile,2,0,,,62996,Group stage,2014-06-23,Brazil,2014,Netherlands
Croatia,Mexico,1,3,,,41212,Group stage,2014-06-23,Brazil,2014,Mexico
Cameroon,Brazil,1,4,,,69112,Group stage,2014-06-23,Brazil,2014,Brazil
Belgium,Russia,1,0,,,73819,Group stage,2014-06-22,Brazil,2014,Belgium
Korea Republic,Algeria,2,4,,,42732,Group stage,2014-06-22,Brazil,2014,Algeria
United States,Portugal,2,2,,,40123,Group stage,2014-06-22,Brazil,2014,Draw
Argentina,IR Iran,1,0,,,57698,Group stage,2014-06-21,Brazil,2014,Argentina
Germany,Ghana,2,2,,,59621,Group stage,2014-06-21,Brazil,2014,Draw
Nigeria,Bosnia and Herzegovina,1,0,,,40499,Group stage,2014-06-21,Brazil,2014,Nigeria
Italy,Costa Rica,0,1,,,40285,Group stage,2014-06-20,Brazil,2014,Costa Rica
Switzerland,France,2,5,,,51003,Group stage,2014-06-20,Brazil,2014,France
Honduras,Ecuador,1,2,,,39224,Group stage,2014-06-20,Brazil,2014,Ecuador
Colombia,Côte d'Ivoire,2,1,,,68748,Group stage,2014-06-19,Brazil,2014,Colombia
Uruguay,England,2,1,,,62575,Group stage,2014-06-19,Brazil,2014,Uruguay
Japan,Greece,0,0,,,39485,Group stage,2014-06-19,Brazil,2014,Draw
Australia,Netherlands,2,3,,,42877,Group stage,2014-06-18,Brazil,2014,Netherlands
Spain,Chile,0,2,,,74101,Group stage,2014-06-18,Brazil,2014,Chile
Cameroon,Croatia,0,4,,,39982,Group stage,2014-06-18,Brazil,2014,Croatia
Belgium,Algeria,2,1,,,56800,Group stage,2014-06-17,Brazil,2014,Belgium
Brazil,Mexico,0,0,,,60342,Group stage,2014-06-17,Brazil,2014,Draw
Russia,Korea Republic,1,1,,,37603,Group stage,2014-06-17,Brazil,2014,Draw
Germany,Portugal,4,0,,,51081,Group stage,2014-06-16,Brazil,2014,Germany
IR Iran,Nigeria,0,0,,,39081,Group stage,2014-06-16,Brazil,2014,Draw
Ghana,United States,1,2,,,39760,Group stage,2014-06-16,Brazil,2014,United States
Switzerland,Ecuador,2,1,,,68351,Group stage,2014-06-15,Brazil,2014,Switzerland
France,Honduras,3,0,,,43012,Group stage,2014-06-15,Brazil,2014,France
Argentina,Bosnia and Herzegovina,2,1,,,74738,Group stage,2014-06-15,Brazil,2014,Argentina
Colombia,Greece,3,0,,,57174,Group stage,2014-06-14,Brazil,2014,Colombia
Uruguay,Costa Rica,1,3,,,58679,Group stage,2014-06-14,Brazil,2014,Costa Rica
England,Italy,1,2,,,39800,Group stage,2014-06-14,Brazil,2014,Italy
Côte d'Ivoire,Japan,2,1,,,40267,Group stage,2014-06-14,Brazil,2014,Côte d'Ivoire
Mexico,Cameroon,1,0,,,39216,Group stage,2014-06-13,Brazil,2014,Mexico
Spain,Netherlands,1,5,,,48173,Group stage,2014-06-13,Brazil,2014,Netherlands
Chile,Australia,3,1,,,40275,Group stage,2014-06-13,Brazil,2014,Chile
Brazil,Croatia,3,1,,,62103,Group stage,2014-06-12,Brazil,2014,Brazil
Netherlands,Spain,0,1,,,84490,Final,2010-07-11,South Africa,2010,Spain
Uruguay,Germany,2,3,,,36254,Third-place match,2010-07-10,South Africa,2010,Germany
Germany,Spain,0,1,,,60960,Semi-finals,2010-07-07,South Africa,2010,Spain
Uruguay,Netherlands,2,3,,,62479,Semi-finals,2010-07-06,South Africa,2010,Netherlands
Argentina,Germany,0,4,,,64100,Quarter-finals,2010-07-03,South Africa,2010,Germany
Paraguay,Spain,0,1,,,55359,Quarter-finals,2010-07-03,South Africa,2010,Spain
Netherlands,Brazil,2,1,,,40186,Quarter-finals,2010-07-02,South Africa,2010,Netherlands
Uruguay,Ghana,1,1,4.0,2.0,84017,Quarter-finals,2010-07-02,South Africa,2010,Uruguay
Paraguay,Japan,0,0,5.0,3.0,36742,Round of 16,2010-06-29,South Africa,2010,Paraguay
Spain,Portugal,1,0,,,62955,Round of 16,2010-06-29,South Africa,2010,Spain
Netherlands,Slovakia,2,1,,,61962,Round of 16,2010-06-28,South Africa,2010,Netherlands
Brazil,Chile,3,0,,,54096,Round of 16,2010-06-28,South Africa,2010,Brazil
Germany,England,4,1,,,40510,Round of 16,2010-06-27,South Africa,2010,Germany
Argentina,Mexico,3,1,,,84377,Round of 16,2010-06-27,South Africa,2010,Argentina
Uruguay,Korea Republic,2,1,,,30597,Round of 16,2010-06-26,South Africa,2010,Uruguay
United States,Ghana,1,2,,,34976,Round of 16,2010-06-26,South Africa,2010,Ghana
Portugal,Brazil,0,0,,,62712,Group stage,2010-06-25,South Africa,2010,Draw
Korea DPR,Côte d'Ivoire,0,3,,,34763,Group stage,2010-06-25,South Africa,2010,Côte d'Ivoire
Chile,Spain,1,2,,,41958,Group stage,2010-06-25,South Africa,2010,Spain
Switzerland,Honduras,0,0,,,28042,Group stage,2010-06-25,South Africa,2010,Draw
Paraguay,New Zealand,0,0,,,34850,Group stage,2010-06-24,South Africa,2010,Draw
Slovakia,Italy,3,2,,,53412,Group stage,2010-06-24,South Africa,2010,Slovakia
Denmark,Japan,1,3,,,27967,Group stage,2010-06-24,South Africa,2010,Japan
Cameroon,Netherlands,1,2,,,63093,Group stage,2010-06-24,South Africa,2010,Netherlands
Slovenia,England,0,1,,,36893,Group stage,2010-06-23,South Africa,2010,England
United States,Algeria,1,0,,,35827,Group stage,2010-06-23,South Africa,2010,United States
Ghana,Germany,0,1,,,83391,Group stage,2010-06-23,South Africa,2010,Germany
Australia,Serbia,2,1,,,37836,Group stage,2010-06-23,South Africa,2010,Australia
Mexico,Uruguay,0,1,,,33425,Group stage,2010-06-22,South Africa,2010,Uruguay
France,South Africa,1,2,,,39415,Group stage,2010-06-22,South Africa,2010,South Africa
Nigeria,Korea Republic,2,2,,,61874,Group stage,2010-06-22,South Africa,2010,Draw
Greece,Argentina,0,2,,,38891,Group stage,2010-06-22,South Africa,2010,Argentina
Portugal,Korea DPR,7,0,,,63644,Group stage,2010-06-21,South Africa,2010,Portugal
Chile,Switzerland,1,0,,,34872,Group stage,2010-06-21,South Africa,2010,Chile
Spain,Honduras,2,0,,,54386,Group stage,2010-06-21,South Africa,2010,Spain
Slovakia,Paraguay,0,2,,,26643,Group stage,2010-06-20,South Africa,2010,Paraguay
Italy,New Zealand,1,1,,,38229,Group stage,2010-06-20,South Africa,2010,Draw
Brazil,Côte d'Ivoire,3,1,,,84455,Group stage,2010-06-20,South Africa,2010,Brazil
Netherlands,Japan,1,0,,,62010,Group stage,2010-06-19,South Africa,2010,Netherlands
Ghana,Australia,1,1,,,34812,Group stage,2010-06-19,South Africa,2010,Draw
Cameroon,Denmark,1,2,,,38074,Group stage,2010-06-19,South Africa,2010,Denmark
Germany,Serbia,0,1,,,38294,Group stage,2010-06-18,South Africa,2010,Serbia
Slovenia,United States,2,2,,,45573,Group stage,2010-06-18,South Africa,2010,Draw
England,Algeria,0,0,,,64100,Group stage,2010-06-18,South Africa,2010,Draw
Argentina,Korea Republic,4,1,,,82174,Group stage,2010-06-17,South Africa,2010,Argentina
Greece,Nigeria,2,1,,,31593,Group stage,2010-06-17,South Africa,2010,Greece
France,Mexico,0,2,,,35370,Group stage,2010-06-17,South Africa,2010,Mexico
Honduras,Chile,0,1,,,32664,Group stage,2010-06-16,South Africa,2010,Chile
Spain,Switzerland,0,1,,,62453,Group stage,2010-06-16,South Africa,2010,Switzerland
South Africa,Uruguay,0,3,,,42658,Group stage,2010-06-16,South Africa,2010,Uruguay
New Zealand,Slovakia,1,1,,,23871,Group stage,2010-06-15,South Africa,2010,Draw
Côte d'Ivoire,Portugal,0,0,,,37034,Group stage,2010-06-15,South Africa,2010,Draw
Brazil,Korea DPR,2,1,,,54331,Group stage,2010-06-15,South Africa,2010,Brazil
